"",10001
"La Cabaña",10892
"El Otoño",10893
"Brasil López Piñeros",10894
"La Cabaña II Sector",10895
"Umbría",10896
"S.C. El Corzo",10897
"Gran Granada II Etapa",10898
"La Estanzuela II Sector",10899
"Betania",10900
"San Judas La Estación",10901
"Carlos Alban Holguín Nueva Granada",10902
"Piamonte I Etapa",10903
"El Porvenir San Bernardo",10904
"Villas del_Progreso",10905
"Escocia IV Sectores I-II-III",10906
"Brasil II 2a. Etapa",10907
"La_Paz",10908
"Altamira Bosa Linda",10909
"San Roque (Predio)",10910
"El Zarzal",10911
"El Triángulo_",10912
"Urb. Portal de los Pinos",10913
"Los Tulipanes",10914
"Tuna Alta Sector El Bosque",10915
"Villa_Cristina",10916
"Santa Rosa - Potosí I y II",10917
"Santa Beatriz (Predio)",10918
"S.C. Vereda Suba Cerros",10919
"Java II Sector 2",10920
"Torreladera",10921
"Urb. Los Nogales de Tibabuyes",10922
"S.C. Tibabuyes",10923
"Recodo del Country",10924
"Las Areneras",10925
"El_Vergel",10926
"Bella Suiza",10927
"Urb. Santacoloma",10928
"Santa Bárbara Norte",10929
"Santa Bárbara Central II",10930
"Santa Teresa",10931
"Urb. Mendiguaca",10932
"Urb. El Cebadero",10933
"Rafael Uribe",10934
"Ciudadela Colsubsidio 4 Sector",10935
"Carlos Lleras Restrepo",10936
"San Antonio_Norte",10937
"Altos del Sol",10938
"La Colmena",10939
"S.C. Calvo Sur",10940
"Buenos Aires III Sector",10941
"El Laurel",10942
"Brisas Aldea",10943
"Rionegro",10944
"La Arboleda_",10945
