ESTADOS,CASOS
LAS SOPAS,10722
CALLEJON SANTA BARBARA,10723
EL REMANSO I,10724
LA CABANA,10725
LAS MARGARITAS,10726
GALAN,10727
EL CORZO,10728
OSORIO XXIII,10729
BRASIL,10730
LAS MARGARITAS,10731
ISLANDIA,10732
SAN ANTONIO,10733
SANTA FE BOSA,10734
OSORIO III,10735
HIPOTECHO SUR,10736
NAZARETH URBANO,10737
EL CORZO I,10738
HIPOTECHO OCCIDENTAL,10739
LA RESURRECCION I,10740
TINTALA,10741
SIBERIA CENTRAL,10742
LECH WALESA,10743
CIUDADELA EL RECREO,10744
SANTA BIBIANA,10745
REMANSO URBANO,10746
EL POA,10747
VILLAS DE GRANADA,10748
LA FISCALA,10749
LA GAITANA ORIENTAL,10750
ESCUELA DE CARABINEROS,10751
SAN BERNARDINO XVIII,10752
SAN BLAS II,10753
SAN BERNARDINO XXII URBANO,10754
EL PLAN,10755
JUAN PABLO II,10756
CANTAGALLO,10757
AREA ARTILLERIA,10758
SAN BERNARDINO XXV,10759
SANTA TERESA,10760
VILLA HERMOSA,10761
SAN BERNARDINO XXV URBANO,10762
LA ESTRELLITA,10763
TIHUAQUE RURAL,10764
EMAUS,10765
CEDRO NARVAEZ,10766
LA PRADERA NORTE,10767
CIUDAD HUNZA,10768
GRAN GRANADA,10769
LOS CEDROS ORIENTAL,10770
TIBABITA RURAL I,10771
BOSQUE DE PINOS I,10772
LOS LAURELES I,10773
CARACOLI,10774
SANTA ANA OCCIDENTAL,10775
SANTO DOMINGO,10776
EL RINCON NORTE,10777
SANTA FE,10778
GUALOCHE,10779
SANTA BARBARA,10780
VILLA GLADYS,10781
CORABASTOS,10782
EL CORTIJO,10783
LAS VIOLETAS,10784
MORAVIA,10785
LA ASUNCION,10786
LOURDES,10787
ALAMOS,10788
ESPINO I,10789
CEDRO SALAZAR,10790
LOS ANGELES,10791
BOSA,10792
RINCON DE SUBA,10793
LA PENA,10794
LA PERSEVERANCIA,10795
LA PEPITA,10796
MEISSEN,10797
LA CONCORDIA,10798
BELLA FLOR SUR,10799
LA ESPERANZA NORTE,10800
ALCAZARES,10801
SANTA VIVIANA,10802
BRISAS DEL VOLADOR,10803
QUIBA URBANO,10804
BELEN FONTIBON,10805
PARAMO I RURAL,10806
BELLA FLOR,10807
EL LAUREL,10808
EL MINUTO DE MARIA,10809
ARABIA,10810
LA CAROLINA,10811
LA ESPERANZA SUR,10812
POLO CLUB,10813
EL CHICO,10814
LA PATRIA,10815
VILLA CARMENZA,10816
EL ENCANTO,10817
SIMON BOLIVAR,10818
SANTA CECILIA,10819
EL TINTAL,10820
ZONA FRANCA,10821
PRADO VERANIEGO NORTE,10822
CEDRITOS,10823
SABANA DEL DORADO,10824
RAMIREZ,10825
MARICHUELA,10826
QUINTAS DEL SUR,10827
AUTOPISTA MUZU,10828
CENTRO ADMINISTRATIVO OCC.,10829
YOMASA NORTE,10830
EL CHANCO RURAL III,10831
LA GIRALDA,10832
JORGE ELIECER GAITAN,10833
TUNA BAJA,10834
EL CONTADOR,10835
CAMPO EUCARISTICO,10836
EL PANTANO,10837
SANTA RITA DE SUBA,10838
BERLIN,10839
TOSCANA,10840
EL PORTAL DEL DIVINO,10841
NICOLAS DE FEDERMAN,10842
SUBA URBANO,10843
EL MOCHUELO URBANO,10844
EL TINTAL II,10845
TIHUAQUE,10846
LOS SOCHES,10847
SAN ANTONIO,10848
LAS GAVIOTAS,10849
SAN ISIDRO RURAL,10850
EL GUAVIO,10851
LA RESURRECCION,10852
ARGELIA II,10853
SAN LUIS,10854
GRAN BRITALIA,10855
LUIS CARLOS GALAN,10856
EL JARDIN,10857
LA CAMPINA,10858
GRAN BRITALIA I,10859
GARCES NAVAS,10860
ATLANTA,10861
VILLA CANDELARIA,10862
SANTA LIBRADA,10863
LA CHUCUA,10864
PARAMO URBANO,10865
MARIA CANO,10866
CASA BLANCA SUBA I,10867
NUEVA TIBABUYES,10868
LAS BRISAS,10869
VILLA DIANA,10870
CIUDAD HAYUELOS,10871
SAN FELIPE,10872
ATENAS,10873
GUIPARMA,10874
EL CURUBO,10875
LOS TRES REYES I,10876
VILLA DEL CERRO,10877
TOCAIMITA SUR,10878
GALAN,10879
LOS ARRAYANES II,10880
RINCON DE LA VALVANERA,10881
ESPINO,10882
EL BOSQUE CENTRAL I,10883
PATIO BONITO III,10884
SAN JOSE DE FONTIBON,10885
BRAZUELOS OCCIDENTAL,10886
SERRANIAS I,10887
AUTOPISTA MEDELLIN,10888
CENTRO USME,10889
SAN JORGE SUR,10890
LA VICTORIA,10891
PRIMERO DE MAYO,10892
EL CHANCO I,10893
LA MERCED,10894
SAMPER MENDOZA,10895
CASABLANCA SUBA,10896
BELLAVISTA,10897
LAS NAVETAS,10898
CIUDAD KENNEDY NORTE,10899
SANTA MONICA,10900
LISBOA,10901
LAS ORQUIDEAS,10902
GARCES NAVAS ORIENTAL,10903
GRANADA,10904
NUEVO TECHO,10905
MONTEVIDEO,10906
LAS ACACIAS,10907
TOCAIMITA ORIENTAL,10908
CHUNIZA,10909
AGUAS CLARAS,10910
SANTA LUCIA,10911
LAS CRUCES,10912
ARRAYANES I,10913
QUIROGA CENTRAL,10914
BRAVO PAEZ,10915
SANTA CECILIA PUENTE NORTE,10916
PUENTE GRANDE,10917
CHARCO URBANO,10918
AURES,10919
COUNTRY CLUB,10920
LA LOMITA,10921
SANTANDER,10922
CENTENARIO,10923
MURILLO TORO,10924
CENTRO ENGATIVA II,10925
PRADO VERANIEGO SUR,10926
SALAZAR GOMEZ,10927
