code,localidad
3404,Fontibón
3406,Fontibón
3443,Usaquén
3445,Usaquén
369,Engativá
3497,Rafael Uribe
3498,Rafael Uribe
3528,None
3533,None
3534,None
3542,None
3544,None
390,San Cristóbal
418,San Cristóbal
427,San Cristóbal
429,Chapinero
624,Fontibón
626,Engativá
648,Usaquén
657,Usaquén
661,Rafael Uribe
664,Usaquén
666,Usaquén
674,Rafael Uribe
684,Teusaquillo
688,Tunjuelito
715,San Cristóbal
727,Teusaquillo
730,San Cristóbal
737,Santa Fe
740,Santa Fe
743,None
755,Rafael Uribe
771,Barrios Unidos
784,Teusaquillo
792,Usaquén
809,None
810,Usaquén
811,Usaquén
827,Usaquén
828,Usaquén
829,Usaquén
831,Usaquén
845,Usaquén
859,Barrios Unidos
869,Barrios Unidos
877,None
894,Puente Aranda
900,Candelaria
901,Candelaria
904,Rafael Uribe
909,Rafael Uribe
921,Rafael Uribe
923,Rafael Uribe
928,Usaquén
939,Fontibón
945,Kennedy
958,Kennedy
961,Kennedy
965,Kennedy
977,Kennedy
983,Kennedy
984,None
987,Kennedy
991,Kennedy
998,Kennedy
1008,Kennedy
1021,Kennedy
1022,Kennedy
1030,Kennedy
1033,Engativá
1042,Kennedy
1052,Kennedy
1053,Kennedy
1060,Kennedy
1065,Kennedy
1076,Kennedy
1078,Kennedy
1079,Kennedy
1096,Kennedy
1104,Kennedy
1129,None
1143,Kennedy
1146,Kennedy
1148,Kennedy
1171,Kennedy
1173,Kennedy
1192,Kennedy
1195,Kennedy
1203,Kennedy
1205,Kennedy
1209,None
1223,Kennedy
1227,Kennedy
1254,Kennedy
1259,Kennedy
1262,Kennedy
1270,Kennedy
1278,None
1303,Kennedy
1725,Bosa
1752,Bosa
1755,Bosa
1780,Bosa
1788,Bosa
1824,Bosa
1879,Bosa
1880,Bosa
1917,Bosa
1942,None
1966,None
1983,None
2011,None
2050,None
2053,None
2078,None
2089,None
2136,None
2159,None
2172,None
2173,None
1353,None
1228,Kennedy
1236,Kennedy
1237,Kennedy
1293,Kennedy
150,Rafael Uribe
165,San Cristóbal
174,Bosa
179,Bosa
184,Bosa
198,None
206,Los Mártires
213,Santa Fe
237,Fontibón
240,Chapinero
267,Engativá
286,None
294,None
295,None
315,Engativá
323,None
325,San Cristóbal
345,San Cristóbal
349,Usaquén
353,Engativá
363,Engativá
381,Engativá
421,San Cristóbal
425,San Cristóbal
442,None
445,San Cristóbal
447,San Cristóbal
540,Engativá
1505,Bosa
570,San Cristóbal
573,Engativá
583,San Cristóbal
593,None
1572,Bosa
1583,None
647,Usaquén
651,Usaquén
670,San Cristóbal
673,Usaquén
689,Tunjuelito
718,San Cristóbal
720,San Cristóbal
726,Santa Fe
756,Rafael Uribe
762,Rafael Uribe
769,None
774,Barrios Unidos
787,Usaquén
789,Usaquén
801,Usaquén
821,Engativá
823,Usaquén
834,Usaquén
837,Usaquén
852,Usaquén
857,Barrios Unidos
2349,None
2364,None
2365,None
865,Barrios Unidos
2382,None
2393,None
2402,None
2410,None
2426,None
2467,Usaquén
2468,Usaquén
2477,None
2488,Usaquén
2499,None
1321,None
1720,Bosa
